open;high;low;close;volume;marketCap;timestamp
109.7987628439;113.1148897841;108.634336266;112.972792565;1202250515.7;37016030859.39;"2022-04-09T23:59:59.999Z"
112.9727114843;115.8083264909;110.0778350414;111.7424356317;1280232450.32;36612845093.25;"2022-04-10T23:59:59.999Z"
111.6989899452;111.8311390386;98.6708543589;99.3391004518;2272498193.67;32578478203.32;"2022-04-11T23:59:59.999Z"
99.3846773181;109.1175581386;98.9352993983;103.3063878372;2317008206.84;33876639836.21;"2022-04-12T23:59:59.999Z"
103.2810129499;105.6768505413;100.4884570256;105.0019475001;1675840411.98;34446417329.75;"2022-04-13T23:59:59.999Z"
104.9406031561;107.3296377691;99.2568463206;100.7078010378;1686576071.06;33037638422.19;"2022-04-14T23:59:59.999Z"
100.7065282725;102.6726425066;100.1008948271;101.3097764848;1050639350.77;33733487009.15;"2022-04-15T23:59:59.999Z"
101.29869416;103.2717215475;100.9647204962;102.2573126931;774939305.12;34063156158.3;"2022-04-16T23:59:59.999Z"
102.2484388709;105.2945551556;99.9581757964;100.4096963588;1057908298.94;33448341308.02;"2022-04-17T23:59:59.999Z"
100.407948392;102.5170256817;95.2427740977;102.1585344689;1846133932.4;34030862759.18;"2022-04-18T23:59:59.999Z"
102.2023818991;108.5820327148;101.3017284067;108.5820327148;1711909607.27;36205329781.76;"2022-04-19T23:59:59.999Z"
108.6021977972;110.7229788695;104.772660903;105.4970008243;1761531527.94;35176593429.43;"2022-04-20T23:59:59.999Z"
105.4976704954;109.7653297838;100.767154272;101.7761423806;1838571746.9;33935858708.04;"2022-04-21T23:59:59.999Z"
101.7574222517;103.4981447884;99.5794330701;100.6120533938;1274793594.44;33561079113.17;"2022-04-22T23:59:59.999Z"
100.6197813169;102.7712322843;98.7815676002;100.7444402666;823252482.49;33605175877.36;"2022-04-23T23:59:59.999Z"
100.727186547;102.2166833914;99.0085147656;99.235792967;818266007.64;33101881730.6;"2022-04-24T23:59:59.999Z"
