Date,Open,High,Low,Close,Volume,Market Cap
Apr-07-2023,1868.2305,1876.7467,1843.3109159355913,1861.1817,18892456010.666668,223829460726.86823
Apr-06-2023,1904.7986,1904.7986,1854.5075,1867.5314,23633196149.333332,225896124822.693
Apr-05-2023,1869.2485,1924.3323,1866.7548,1905.9109,29853376000,229280148795.4276
Apr-04-2023,1809.424169495713,1878.9072,1803.206766323145,1868.0889,46808127160.888885,221852792833.6284
Apr-03-2023,1794.0625,1832.5562,1764.6887,1807.9629215330265,21586855471.54286,216337704870.9492
Apr-02-2023,1817.7663388003166,1823.406987008213,1778.4039,1794.5454,46738756046.22222,221204593168.64407
Apr-01-2023,1819.3954526126556,1836.5043,1809.9658344317393,1817.9883314155043,25649666289.77778,222757573982.53036
Mar-31-2023,1791.3889496871902,1838.7862,1781.676736815724,1819.0325611397934,24946911171.555557,221312839456.13287
Mar-30-2023,1793.1328,1823.3916,1768.015,1790.1364964884742,34969845319.111115,219312707634.81976
Mar-29-2023,1770.4167,1823.9224,1770.4167,1793.9115,104545114211.55556,220126666236.1699
Mar-28-2023,1714.1185,1785.9332,1703.7575780096508,1771.7057,26535403512.88889,212456800405.05206
Mar-27-2023,1771.7210361809407,1778.8719,1698.3631,1715.3728,41027501475.55556,213310565305.77698
Mar-26-2023,1742.4593,1792.1872990178524,1740.434,1771.967665947328,19257869513.72504,215200997731.63242
Mar-25-2023,1752.0481447908471,1762.597277160509,1718.7579,1741.59,45396596174.22222,213830767928.7779
Mar-24-2023,1817.5739,1820.78749162516,1734.2861,1750.174136164501,119490386325.33333,218223603940.8872
Mar-23-2023,1737.0796085128222,1848.19392724134,1734.7611053367198,1818.9182,102154218289.77777,217407347213.0039
Mar-22-2023,1807.0567603566963,1819.0876,1719.5249,1737.7501,29954344547.555557,218391184822.33096
Mar-21-2023,1735.6002,1824.4765,1725.5817,1807.327716279214,37378907420.44444,217213135561.16562
Mar-20-2023,1784.5718,1803.1019915121447,1730.1694,1732.5942,32501741824,216433968807.02945
Mar-19-2023,1760.9656143038194,1839.4766936826563,1760.9656143038194,1785.3429,30159188202.666668,219336131509.9684
Mar-18-2023,1792.4757,1832.3426,1759.4123792653124,1759.4123792653124,42136638734.22222,220857794973.26233
Mar-17-2023,1676.7374,1796.2327,1667.0003,1787.4889,35618887025.77778,211276362534.03903
Mar-16-2023,1654.8168046513288,1686.1291,1641.8237,1677.3203,50719128600.97561,203188645515.3679
Mar-15-2023,1704.6536,1719.5707,1616.5164442880007,1653.3463955091108,45430333916.44444,205426513969.5017
Mar-14-2023,1680.7611,1777.5516,1665.0699,1704.8027,47470558633.46479,208623886688.917
Mar-13-2023,1588.3703588324947,1694.4369237585292,1573.7913268708912,1678.1010177444364,87597218230.34386,199311178967.4786
Mar-12-2023,1477.9536,1589.1116,1460.5178899302373,1585.9484902900301,27341461002.666668,182750884107.5552
Mar-11-2023,1430.1645334505797,1482.021,1417.82,1482.021,41292044593.77778,177717906622.47922
Mar-10-2023,1438.2141,1438.2141,1377.4674,1428.2093563862938,38990359120.27875,172904295608.12222
Mar-09-2023,1533.5190460380295,1544.3348,1422.1388,1439.4372,20897293711.609756,185858197942.98013
Mar-08-2023,1561.062,1568.6227,1533.211845091075,1533.591955100595,23554274271.66316,190419503156.11264
Mar-07-2023,1566.02,1577.7037636027553,1540.8089,1561.3807,16138259175.11111,191424282302.56732
Mar-06-2023,1564.4943,1580.8315,1557.9028,1566.4469,18168226218.666668,191699947549.47043
Mar-05-2023,1567.734501779617,1584.4379,1558.2961903704393,1564.165,65573449326.22222,192092215422.25598
